datetime,open,high,low,close
2015-02-01,216.867,231.57401,212.015,226.972
2015-02-02,226.491,242.175,222.659,238.229
2015-02-03,237.45399,245.957,224.483,227.26801
2015-02-04,227.511,230.058,221.11301,226.853
2015-02-05,227.66499,239.405,214.72501,217.11099
2015-02-06,216.923,230.50999,216.23199,222.26601
2015-02-07,222.633,230.299,222.60699,227.754
2015-02-08,227.69299,229.438,221.077,223.412
2015-02-09,223.38901,223.97701,217.019,220.11
2015-02-10,220.282,221.80701,215.332,219.839
2015-02-11,219.73199,223.40601,218.07401,219.185
2015-02-12,219.20799,222.19901,217.614,221.76401
2015-02-13,221.96899,240.259,221.26199,235.427
2015-02-14,235.528,259.80801,235.528,257.32101
2015-02-15,257.50699,265.61099,227.68401,234.825
2015-02-16,234.825,239.521,229.022,233.843
2015-02-17,233.422,245.77499,232.314,243.61
2015-02-18,243.78,244.25101,232.34,236.326
2015-02-19,236.41,242.672,235.592,240.283
2015-02-20,240.25101,247.101,239.299,243.77901
2015-02-21,243.752,255.32001,243.18401,244.534
2015-02-22,244.54401,246.392,233.851,235.97701
2015-02-23,235.995,240.10899,232.42101,238.892
2015-02-24,238.998,239.901,236.40199,238.735
2015-02-25,238.89,239.34,235.53,237.47
2015-02-26,237.33701,237.71001,234.257,236.42599
2015-02-27,236.436,256.65302,236.436,253.828
2015-02-28,253.52,254.692,249.479,254.263
2015-03-01,254.283,261.66,245.933,260.202
2015-03-02,260.35699,276.30099,258.31299,275.67001
2015-03-03,275.04599,285.79599,268.16101,281.702
2015-03-04,281.98999,284.22501,268.12601,273.09201
2015-03-05,272.73901,281.66699,264.76901,276.17801
2015-03-06,275.60001,277.608,270.01501,272.72299
2015-03-07,272.29401,277.854,270.133,276.26099
2015-03-08,276.43301,277.858,272.565,274.354
2015-03-09,274.81201,292.70099,273.89301,289.60699
2015-03-10,289.862,300.04401,289.74301,291.76001
2015-03-11,291.52499,297.39099,290.508,296.379
2015-03-12,296.12701,297.08801,292.41299,294.354
2015-03-13,294.11801,294.49799,285.33701,285.33701
2015-03-14,284.44199,286.34201,280.97601,281.88501
2015-03-15,281.42499,286.52899,280.996,286.39301
2015-03-16,285.685,294.112,285.685,290.59299
2015-03-17,290.595,292.36499,284.37399,285.505
2015-03-18,285.06699,285.336,249.87,256.29901
2015-03-19,255.88,264.24399,248.636,260.92801
2015-03-20,260.95599,264.84799,259.16199,261.74899
2015-03-21,261.64401,262.19601,255.64999,260.02499
2015-03-22,259.91699,269.74701,259.59,267.95999
2015-03-23,267.89499,277.297,261.745,266.73999
2015-03-24,266.577,267.00299,244.155,245.595
2015-03-25,247.472,249.19,236.515,246.19701
2015-03-26,246.276,254.354,244.905,248.532
2015-03-27,248.56599,256.811,245.213,247.02901
2015-03-28,246.97501,254.205,246.97501,252.798
2015-03-29,252.74001,253.13901,240.85001,242.713
2015-03-30,242.879,249.242,239.214,247.526
2015-03-31,247.45399,248.73,242.739,244.224
2015-04-01,244.22301,247.541,241.16,247.272
2015-04-02,247.089,254.461,245.416,253.005
2015-04-03,253.07401,256.043,251.879,254.32201
2015-04-04,254.291,255.258,251.10001,253.69701
2015-04-05,253.761,260.67499,251.942,260.59799
2015-04-06,260.72101,261.798,254.575,255.492
2015-04-07,255.274,255.80499,252.205,253.17999
2015-04-08,253.064,253.847,244.215,245.022
2015-04-09,244.75101,246.118,239.39999,243.67599
2015-04-10,243.694,243.694,232.771,236.07201
2015-04-11,236.01601,239.537,234.175,236.552
2015-04-12,236.535,237.728,233.495,236.153
2015-04-13,235.95,236.935,221.996,224.58701
2015-04-14,224.759,224.976,216.323,219.159
2015-04-15,219.073,223.83299,218.649,223.83299
2015-04-16,223.91701,229.672,223.91701,228.573
2015-04-17,228.575,228.90601,221.942,222.882
2015-04-18,222.853,224.31599,220.87601,223.356
2015-04-19,223.45599,226.353,222.373,222.60001
2015-04-20,222.612,226.351,221.97701,224.62601
2015-04-21,224.62,235.269,224.30099,235.269
2015-04-22,235.60201,237.909,233.476,234.17599
2015-04-23,234.05299,236.47501,233.19901,236.46201
2015-04-24,235.97,236.30499,229.933,231.26801
2015-04-25,231.235,232.561,226.33701,226.39
2015-04-26,226.41,226.944,214.87399,219.42999
2015-04-27,219.429,233.30499,218.02299,229.286
2015-04-28,228.96899,229.495,223.069,225.855
2015-04-29,225.591,227.03999,223.42999,225.808
2015-04-30,225.69299,239.563,224.993,236.145
2015-05-01,235.939,238.966,232.07899,232.07899
2015-05-02,232.341,235.72701,232.341,234.92999
2015-05-03,234.88,243.24001,234.08299,240.358
2015-05-04,240.356,242.638,237.81,239.01801
2015-05-05,238.85201,239.20399,232.054,236.121
2015-05-06,236.24899,236.45399,229.231,229.782
2015-05-07,229.662,239.105,228.573,237.334
2015-05-08,237.20399,246.27499,236.274,243.86301
2015-05-09,243.769,247.804,239.63901,241.832
2015-05-10,241.729,244.06799,238.849,240.29601
2015-05-11,240.299,244.27,239.37601,242.158
2015-05-12,242.145,242.881,240.099,241.112
2015-05-13,241.39799,243.70399,235.045,236.377
2015-05-14,236.214,237.799,234.05701,236.929
2015-05-15,236.955,238.75301,236.795,237.605
2015-05-16,237.644,237.69701,235.295,236.153
2015-05-17,236.00999,238.02499,236.00999,236.802
2015-05-18,236.88699,237.21001,232.46001,233.12801
2015-05-19,233.037,234.151,231.817,231.94701
2015-05-20,231.89,234.683,231.842,234.01801
2015-05-21,234.01601,236.242,233.83501,235.34399
2015-05-22,235.321,240.96899,235.06,240.34801
2015-05-23,240.286,241.02499,238.69099,238.87199
2015-05-24,238.976,241.978,238.811,240.953
2015-05-25,240.927,241.021,236.63699,237.11
2015-05-26,237.104,238.242,235.692,237.116
2015-05-27,237.065,238.636,236.69501,237.283
2015-05-28,237.257,237.82401,236.65199,237.408
2015-05-29,237.377,237.522,235.731,237.09599
2015-05-30,237.092,237.093,232.04601,233.345
2015-05-31,233.13499,233.252,229.54201,230.19
2015-06-01,230.233,231.713,221.29601,222.92599
2015-06-02,222.894,226.416,222.41901,225.80299
2015-06-03,225.73599,227.40401,223.92999,225.87399
2015-06-04,225.772,226.58099,224.054,224.32401
2015-06-05,224.15401,225.968,223.179,224.952
2015-06-06,225.005,225.71899,224.379,225.619
2015-06-07,225.59599,226.194,222.65199,222.881
2015-06-08,222.879,229.464,222.839,228.489
